Training with a single process on 1 GPUs.
Model ViTAE_basic_Small created, param count: 24032136
Model ViTAE_basic_Small created, trainable param count: 24009096
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
Train: 0 [ 950/10009 (  9%)]  Loss:  6.923147 (6.9301)  Time: 0.730s,  175.32/s  (1.815s,   70.52/s)  LR: 1.000e-06  Data: 0.018 (1.146)
Train: 0 [1000/10009 ( 10%)]  Loss:  6.891422 (6.9294)  Time: 0.671s,  190.87/s  (1.819s,   70.36/s)  LR: 1.000e-06  Data: 0.016 (1.150)
Train: 0 [1050/10009 ( 10%)]  Loss:  6.908401 (6.9289)  Time: 0.698s,  183.41/s  (1.819s,   70.39/s)  LR: 1.000e-06  Data: 0.019 (1.149)
Train: 0 [1100/10009 ( 11%)]  Loss:  6.924544 (6.9284)  Time: 7.665s,   16.70/s  (1.820s,   70.33/s)  LR: 1.000e-06  Data: 7.005 (1.150)
Train: 0 [1150/10009 ( 11%)]  Loss:  6.933968 (6.9278)  Time: 0.686s,  186.64/s  (1.818s,   70.42/s)  LR: 1.000e-06  Data: 0.019 (1.148)
Train: 0 [1200/10009 ( 12%)]  Loss:  6.920142 (6.9273)  Time: 0.675s,  189.74/s  (1.827s,   70.05/s)  LR: 1.000e-06  Data: 0.018 (1.158)
Train: 0 [1250/10009 ( 12%)]  Loss:  6.928351 (6.9270)  Time: 0.681s,  188.07/s  (1.831s,   69.89/s)  LR: 1.000e-06  Data: 0.019 (1.162)
Train: 0 [1300/10009 ( 13%)]  Loss:  6.928741 (6.9265)  Time: 13.183s,    9.71/s  (1.844s,   69.41/s)  LR: 1.000e-06  Data: 12.524 (1.174)
Train: 0 [1350/10009 ( 13%)]  Loss:  6.913516 (6.9260)  Time: 0.679s,  188.42/s  (1.846s,   69.35/s)  LR: 1.000e-06  Data: 0.017 (1.176)
Train: 0 [1400/10009 ( 14%)]  Loss:  6.937483 (6.9255)  Time: 0.675s,  189.68/s  (1.844s,   69.41/s)  LR: 1.000e-06  Data: 0.016 (1.175)
Train: 0 [1450/10009 ( 14%)]  Loss:  6.923155 (6.9250)  Time: 0.695s,  184.21/s  (1.844s,   69.40/s)  LR: 1.000e-06  Data: 0.030 (1.176)
Train: 0 [1500/10009 ( 15%)]  Loss:  6.903170 (6.9246)  Time: 10.804s,   11.85/s  (1.858s,   68.88/s)  LR: 1.000e-06  Data: 10.141 (1.190)
Train: 0 [1550/10009 ( 15%)]  Loss:  6.883222 (6.9241)  Time: 0.683s,  187.27/s  (1.860s,   68.81/s)  LR: 1.000e-06  Data: 0.019 (1.192)
Train: 0 [1600/10009 ( 16%)]  Loss:  6.897108 (6.9237)  Time: 0.679s,  188.53/s  (1.866s,   68.61/s)  LR: 1.000e-06  Data: 0.018 (1.197)
Train: 0 [1650/10009 ( 16%)]  Loss:  6.912963 (6.9233)  Time: 0.683s,  187.31/s  (1.866s,   68.61/s)  LR: 1.000e-06  Data: 0.023 (1.197)
Train: 0 [1700/10009 ( 17%)]  Loss:  6.888883 (6.9229)  Time: 7.869s,   16.27/s  (1.866s,   68.61/s)  LR: 1.000e-06  Data: 7.211 (1.197)
Train: 0 [1750/10009 ( 17%)]  Loss:  6.907820 (6.9224)  Time: 0.683s,  187.47/s  (1.862s,   68.75/s)  LR: 1.000e-06  Data: 0.017 (1.194)
Train: 0 [1800/10009 ( 18%)]  Loss:  6.902879 (6.9220)  Time: 0.687s,  186.27/s  (1.861s,   68.78/s)  LR: 1.000e-06  Data: 0.022 (1.193)
Train: 0 [1850/10009 ( 18%)]  Loss:  6.914010 (6.9217)  Time: 0.681s,  188.05/s  (1.857s,   68.92/s)  LR: 1.000e-06  Data: 0.019 (1.189)
Train: 0 [1900/10009 ( 19%)]  Loss:  6.905092 (6.9214)  Time: 8.946s,   14.31/s  (1.858s,   68.90/s)  LR: 1.000e-06  Data: 8.286 (1.190)
Train: 0 [1950/10009 ( 19%)]  Loss:  6.891750 (6.9210)  Time: 0.679s,  188.39/s  (1.858s,   68.90/s)  LR: 1.000e-06  Data: 0.017 (1.190)
Train: 0 [2000/10009 ( 20%)]  Loss:  6.896850 (6.9206)  Time: 0.680s,  188.33/s  (1.854s,   69.03/s)  LR: 1.000e-06  Data: 0.018 (1.187)
Train: 0 [2050/10009 ( 20%)]  Loss:  6.884392 (6.9202)  Time: 0.657s,  194.73/s  (1.848s,   69.26/s)  LR: 1.000e-06  Data: 0.017 (1.181)
Train: 0 [2100/10009 ( 21%)]  Loss:  6.882770 (6.9199)  Time: 5.773s,   22.17/s  (1.849s,   69.23/s)  LR: 1.000e-06  Data: 5.115 (1.181)
Train: 0 [2150/10009 ( 21%)]  Loss:  6.911397 (6.9196)  Time: 0.677s,  188.98/s  (1.848s,   69.26/s)  LR: 1.000e-06  Data: 0.018 (1.181)
Train: 0 [2200/10009 ( 22%)]  Loss:  6.933303 (6.9193)  Time: 0.669s,  191.21/s  (1.848s,   69.27/s)  LR: 1.000e-06  Data: 0.016 (1.180)
Train: 0 [2250/10009 ( 22%)]  Loss:  6.913563 (6.9190)  Time: 0.679s,  188.40/s  (1.846s,   69.34/s)  LR: 1.000e-06  Data: 0.017 (1.178)
Train: 0 [2300/10009 ( 23%)]  Loss:  6.860356 (6.9187)  Time: 3.071s,   41.68/s  (1.848s,   69.26/s)  LR: 1.000e-06  Data: 2.408 (1.181)
Train: 0 [2350/10009 ( 23%)]  Loss:  6.916369 (6.9185)  Time: 0.680s,  188.27/s  (1.846s,   69.33/s)  LR: 1.000e-06  Data: 0.020 (1.179)
Train: 0 [2400/10009 ( 24%)]  Loss:  6.894567 (6.9181)  Time: 0.732s,  174.83/s  (1.845s,   69.37/s)  LR: 1.000e-06  Data: 0.016 (1.178)
Train: 0 [2450/10009 ( 24%)]  Loss:  6.908993 (6.9178)  Time: 0.681s,  188.07/s  (1.843s,   69.44/s)  LR: 1.000e-06  Data: 0.019 (1.176)
Train: 0 [2500/10009 ( 25%)]  Loss:  6.882401 (6.9175)  Time: 0.663s,  193.11/s  (1.840s,   69.56/s)  LR: 1.000e-06  Data: 0.018 (1.173)
Train: 0 [2550/10009 ( 25%)]  Loss:  6.902526 (6.9172)  Time: 0.676s,  189.36/s  (1.837s,   69.69/s)  LR: 1.000e-06  Data: 0.019 (1.169)
Train: 0 [2600/10009 ( 26%)]  Loss:  6.904188 (6.9169)  Time: 0.674s,  189.94/s  (1.840s,   69.57/s)  LR: 1.000e-06  Data: 0.016 (1.173)
Train: 0 [2650/10009 ( 26%)]  Loss:  6.906399 (6.9167)  Time: 0.674s,  189.85/s  (1.837s,   69.66/s)  LR: 1.000e-06  Data: 0.016 (1.170)
Train: 0 [2700/10009 ( 27%)]  Loss:  6.913266 (6.9164)  Time: 2.467s,   51.89/s  (1.834s,   69.81/s)  LR: 1.000e-06  Data: 1.808 (1.167)
Train: 0 [2750/10009 ( 27%)]  Loss:  6.924422 (6.9161)  Time: 0.674s,  190.01/s  (1.825s,   70.13/s)  LR: 1.000e-06  Data: 0.016 (1.158)
Train: 0 [2800/10009 ( 28%)]  Loss:  6.888771 (6.9158)  Time: 2.960s,   43.24/s  (1.827s,   70.07/s)  LR: 1.000e-06  Data: 2.245 (1.160)
Train: 0 [2850/10009 ( 28%)]  Loss:  6.873731 (6.9156)  Time: 0.674s,  189.79/s  (1.825s,   70.12/s)  LR: 1.000e-06  Data: 0.016 (1.159)
Train: 0 [2900/10009 ( 29%)]  Loss:  6.886463 (6.9153)  Time: 8.540s,   14.99/s  (1.827s,   70.06/s)  LR: 1.000e-06  Data: 7.885 (1.160)
Train: 0 [2950/10009 ( 29%)]  Loss:  6.911321 (6.9150)  Time: 0.678s,  188.83/s  (1.826s,   70.10/s)  LR: 1.000e-06  Data: 0.016 (1.159)
Train: 0 [3000/10009 ( 30%)]  Loss:  6.882844 (6.9148)  Time: 0.649s,  197.14/s  (1.828s,   70.02/s)  LR: 1.000e-06  Data: 0.013 (1.162)
Train: 0 [3050/10009 ( 30%)]  Loss:  6.899478 (6.9145)  Time: 0.654s,  195.69/s  (1.824s,   70.17/s)  LR: 1.000e-06  Data: 0.014 (1.158)
Train: 0 [3100/10009 ( 31%)]  Loss:  6.894896 (6.9142)  Time: 10.503s,   12.19/s  (1.826s,   70.09/s)  LR: 1.000e-06  Data: 9.844 (1.160)
Train: 0 [3150/10009 ( 31%)]  Loss:  6.891948 (6.9140)  Time: 0.675s,  189.66/s  (1.825s,   70.14/s)  LR: 1.000e-06  Data: 0.016 (1.159)
Train: 0 [3200/10009 ( 32%)]  Loss:  6.860289 (6.9137)  Time: 0.674s,  189.83/s  (1.823s,   70.21/s)  LR: 1.000e-06  Data: 0.016 (1.157)
Train: 0 [3250/10009 ( 32%)]  Loss:  6.893405 (6.9134)  Time: 0.674s,  189.79/s  (1.822s,   70.26/s)  LR: 1.000e-06  Data: 0.016 (1.156)
Train: 0 [3300/10009 ( 33%)]  Loss:  6.883400 (6.9132)  Time: 7.347s,   17.42/s  (1.820s,   70.33/s)  LR: 1.000e-06  Data: 6.689 (1.154)
Train: 0 [3350/10009 ( 33%)]  Loss:  6.872403 (6.9129)  Time: 0.673s,  190.32/s  (1.815s,   70.54/s)  LR: 1.000e-06  Data: 0.016 (1.149)
Train: 0 [3400/10009 ( 34%)]  Loss:  6.885068 (6.9127)  Time: 0.867s,  147.70/s  (1.813s,   70.62/s)  LR: 1.000e-06  Data: 0.017 (1.147)
Train: 0 [3450/10009 ( 34%)]  Loss:  6.883727 (6.9124)  Time: 0.664s,  192.90/s  (1.811s,   70.68/s)  LR: 1.000e-06  Data: 0.018 (1.146)
Train: 0 [3500/10009 ( 35%)]  Loss:  6.918235 (6.9122)  Time: 8.136s,   15.73/s  (1.811s,   70.66/s)  LR: 1.000e-06  Data: 7.435 (1.146)
Train: 0 [3550/10009 ( 35%)]  Loss:  6.912521 (6.9120)  Time: 3.267s,   39.18/s  (1.811s,   70.70/s)  LR: 1.000e-06  Data: 2.610 (1.146)
Train: 0 [3600/10009 ( 36%)]  Loss:  6.891922 (6.9117)  Time: 0.671s,  190.78/s  (1.810s,   70.74/s)  LR: 1.000e-06  Data: 0.016 (1.145)
Train: 0 [3650/10009 ( 36%)]  Loss:  6.890679 (6.9114)  Time: 0.675s,  189.68/s  (1.808s,   70.81/s)  LR: 1.000e-06  Data: 0.017 (1.143)
Train: 0 [3700/10009 ( 37%)]  Loss:  6.914706 (6.9112)  Time: 10.362s,   12.35/s  (1.809s,   70.76/s)  LR: 1.000e-06  Data: 9.701 (1.144)
Train: 0 [3750/10009 ( 37%)]  Loss:  6.893610 (6.9110)  Time: 0.671s,  190.76/s  (1.807s,   70.83/s)  LR: 1.000e-06  Data: 0.016 (1.143)
Train: 0 [3800/10009 ( 38%)]  Loss:  6.908264 (6.9108)  Time: 0.667s,  191.97/s  (1.805s,   70.92/s)  LR: 1.000e-06  Data: 0.017 (1.140)
Train: 0 [3850/10009 ( 38%)]  Loss:  6.903802 (6.9105)  Time: 0.675s,  189.72/s  (1.804s,   70.97/s)  LR: 1.000e-06  Data: 0.016 (1.139)
Train: 0 [3900/10009 ( 39%)]  Loss:  6.910326 (6.9103)  Time: 10.763s,   11.89/s  (1.805s,   70.91/s)  LR: 1.000e-06  Data: 10.109 (1.141)
Train: 0 [3950/10009 ( 39%)]  Loss:  6.869099 (6.9101)  Time: 0.677s,  189.10/s  (1.800s,   71.11/s)  LR: 1.000e-06  Data: 0.017 (1.136)
Train: 0 [4000/10009 ( 40%)]  Loss:  6.883723 (6.9099)  Time: 0.679s,  188.50/s  (1.797s,   71.24/s)  LR: 1.000e-06  Data: 0.017 (1.133)
Train: 0 [4050/10009 ( 40%)]  Loss:  6.904447 (6.9096)  Time: 0.670s,  191.04/s  (1.796s,   71.27/s)  LR: 1.000e-06  Data: 0.016 (1.132)
Train: 0 [4100/10009 ( 41%)]  Loss:  6.878961 (6.9094)  Time: 7.833s,   16.34/s  (1.797s,   71.23/s)  LR: 1.000e-06  Data: 7.173 (1.133)
Train: 0 [4150/10009 ( 41%)]  Loss:  6.888239 (6.9091)  Time: 0.674s,  190.01/s  (1.795s,   71.29/s)  LR: 1.000e-06  Data: 0.016 (1.131)
Train: 0 [4200/10009 ( 42%)]  Loss:  6.876792 (6.9089)  Time: 0.676s,  189.47/s  (1.795s,   71.32/s)  LR: 1.000e-06  Data: 0.017 (1.131)
Train: 0 [4250/10009 ( 42%)]  Loss:  6.869634 (6.9086)  Time: 0.675s,  189.69/s  (1.794s,   71.34/s)  LR: 1.000e-06  Data: 0.017 (1.130)
Train: 0 [4300/10009 ( 43%)]  Loss:  6.914888 (6.9084)  Time: 3.890s,   32.91/s  (1.795s,   71.31/s)  LR: 1.000e-06  Data: 3.091 (1.131)
Train: 0 [4350/10009 ( 43%)]  Loss:  6.897318 (6.9083)  Time: 0.671s,  190.85/s  (1.792s,   71.41/s)  LR: 1.000e-06  Data: 0.017 (1.129)
Train: 0 [4400/10009 ( 44%)]  Loss:  6.873609 (6.9080)  Time: 0.671s,  190.64/s  (1.792s,   71.43/s)  LR: 1.000e-06  Data: 0.016 (1.128)
Train: 0 [4450/10009 ( 44%)]  Loss:  6.901218 (6.9078)  Time: 0.676s,  189.30/s  (1.792s,   71.42/s)  LR: 1.000e-06  Data: 0.017 (1.128)
Train: 0 [4500/10009 ( 45%)]  Loss:  6.873622 (6.9076)  Time: 0.657s,  194.78/s  (1.793s,   71.40/s)  LR: 1.000e-06  Data: 0.016 (1.129)
Train: 0 [4550/10009 ( 45%)]  Loss:  6.892573 (6.9074)  Time: 0.675s,  189.52/s  (1.791s,   71.46/s)  LR: 1.000e-06  Data: 0.017 (1.127)
Train: 0 [4600/10009 ( 46%)]  Loss:  6.884477 (6.9071)  Time: 0.674s,  189.85/s  (1.791s,   71.46/s)  LR: 1.000e-06  Data: 0.017 (1.127)
Train: 0 [4650/10009 ( 46%)]  Loss:  6.896322 (6.9069)  Time: 0.674s,  189.94/s  (1.791s,   71.48/s)  LR: 1.000e-06  Data: 0.016 (1.127)
Train: 0 [4700/10009 ( 47%)]  Loss:  6.880823 (6.9067)  Time: 0.676s,  189.39/s  (1.791s,   71.49/s)  LR: 1.000e-06  Data: 0.017 (1.127)
Train: 0 [4750/10009 ( 47%)]  Loss:  6.892579 (6.9064)  Time: 0.673s,  190.14/s  (1.789s,   71.54/s)  LR: 1.000e-06  Data: 0.019 (1.126)
Train: 0 [4800/10009 ( 48%)]  Loss:  6.865957 (6.9062)  Time: 0.659s,  194.25/s  (1.791s,   71.49/s)  LR: 1.000e-06  Data: 0.017 (1.127)
Train: 0 [4850/10009 ( 48%)]  Loss:  6.870432 (6.9060)  Time: 0.674s,  189.84/s  (1.790s,   71.52/s)  LR: 1.000e-06  Data: 0.017 (1.126)
Train: 0 [4900/10009 ( 49%)]  Loss:  6.869249 (6.9058)  Time: 0.678s,  188.69/s  (1.791s,   71.48/s)  LR: 1.000e-06  Data: 0.019 (1.127)
Train: 0 [4950/10009 ( 49%)]  Loss:  6.913414 (6.9056)  Time: 0.677s,  188.94/s  (1.792s,   71.44/s)  LR: 1.000e-06  Data: 0.019 (1.128)
Train: 0 [5000/10009 ( 50%)]  Loss:  6.894629 (6.9054)  Time: 1.628s,   78.63/s  (1.791s,   71.46/s)  LR: 1.000e-06  Data: 0.914 (1.128)
Train: 0 [5050/10009 ( 50%)]  Loss:  6.821976 (6.9051)  Time: 0.678s,  188.92/s  (1.790s,   71.50/s)  LR: 1.000e-06  Data: 0.017 (1.127)
Train: 0 [5100/10009 ( 51%)]  Loss:  6.881446 (6.9049)  Time: 0.674s,  189.90/s  (1.790s,   71.52/s)  LR: 1.000e-06  Data: 0.017 (1.126)
Train: 0 [5150/10009 ( 51%)]  Loss:  6.855608 (6.9047)  Time: 0.679s,  188.53/s  (1.786s,   71.67/s)  LR: 1.000e-06  Data: 0.016 (1.123)
Train: 0 [5200/10009 ( 52%)]  Loss:  6.866509 (6.9045)  Time: 2.142s,   59.76/s  (1.784s,   71.74/s)  LR: 1.000e-06  Data: 1.486 (1.121)
Train: 0 [5250/10009 ( 52%)]  Loss:  6.892223 (6.9043)  Time: 0.684s,  187.03/s  (1.784s,   71.75/s)  LR: 1.000e-06  Data: 0.018 (1.121)
Train: 0 [5300/10009 ( 53%)]  Loss:  6.862502 (6.9040)  Time: 0.678s,  188.74/s  (1.782s,   71.84/s)  LR: 1.000e-06  Data: 0.016 (1.118)
Train: 0 [5350/10009 ( 53%)]  Loss:  6.903347 (6.9038)  Time: 0.671s,  190.73/s  (1.779s,   71.93/s)  LR: 1.000e-06  Data: 0.016 (1.116)
Train: 0 [5400/10009 ( 54%)]  Loss:  6.838588 (6.9036)  Time: 6.505s,   19.68/s  (1.780s,   71.91/s)  LR: 1.000e-06  Data: 5.843 (1.117)
Train: 0 [5450/10009 ( 54%)]  Loss:  6.889029 (6.9034)  Time: 0.674s,  189.77/s  (1.779s,   71.96/s)  LR: 1.000e-06  Data: 0.017 (1.116)
Train: 0 [5500/10009 ( 55%)]  Loss:  6.828640 (6.9031)  Time: 0.663s,  192.95/s  (1.778s,   71.99/s)  LR: 1.000e-06  Data: 0.013 (1.115)
Train: 0 [5550/10009 ( 55%)]  Loss:  6.879920 (6.9029)  Time: 0.671s,  190.84/s  (1.778s,   72.00/s)  LR: 1.000e-06  Data: 0.017 (1.115)
Train: 0 [5600/10009 ( 56%)]  Loss:  6.847667 (6.9027)  Time: 0.674s,  189.77/s  (1.778s,   71.98/s)  LR: 1.000e-06  Data: 0.017 (1.115)
Train: 0 [5650/10009 ( 56%)]  Loss:  6.856857 (6.9025)  Time: 0.674s,  189.95/s  (1.778s,   72.01/s)  LR: 1.000e-06  Data: 0.013 (1.115)
Train: 0 [5700/10009 ( 57%)]  Loss:  6.883364 (6.9023)  Time: 0.658s,  194.50/s  (1.776s,   72.08/s)  LR: 1.000e-06  Data: 0.016 (1.113)
Train: 0 [5750/10009 ( 57%)]  Loss:  6.865043 (6.9021)  Time: 0.676s,  189.45/s  (1.774s,   72.14/s)  LR: 1.000e-06  Data: 0.017 (1.112)
Train: 0 [5800/10009 ( 58%)]  Loss:  6.888668 (6.9019)  Time: 0.677s,  189.17/s  (1.772s,   72.23/s)  LR: 1.000e-06  Data: 0.019 (1.109)
Train: 0 [5850/10009 ( 58%)]  Loss:  6.881768 (6.9017)  Time: 0.675s,  189.69/s  (1.770s,   72.32/s)  LR: 1.000e-06  Data: 0.015 (1.107)
Train: 0 [5900/10009 ( 59%)]  Loss:  6.870597 (6.9015)  Time: 1.731s,   73.94/s  (1.770s,   72.33/s)  LR: 1.000e-06  Data: 1.062 (1.107)
Train: 0 [5950/10009 ( 59%)]  Loss:  6.885674 (6.9012)  Time: 0.673s,  190.16/s  (1.770s,   72.33/s)  LR: 1.000e-06  Data: 0.017 (1.107)
Train: 0 [6000/10009 ( 60%)]  Loss:  6.915375 (6.9010)  Time: 0.678s,  188.75/s  (1.768s,   72.41/s)  LR: 1.000e-06  Data: 0.018 (1.105)
Train: 0 [6050/10009 ( 60%)]  Loss:  6.858911 (6.9008)  Time: 0.674s,  189.79/s  (1.765s,   72.50/s)  LR: 1.000e-06  Data: 0.016 (1.103)
Train: 0 [6100/10009 ( 61%)]  Loss:  6.891737 (6.9005)  Time: 0.650s,  197.03/s  (1.763s,   72.59/s)  LR: 1.000e-06  Data: 0.016 (1.101)
Train: 0 [6150/10009 ( 61%)]  Loss:  6.853260 (6.9004)  Time: 0.673s,  190.17/s  (1.763s,   72.60/s)  LR: 1.000e-06  Data: 0.016 (1.100)
Train: 0 [6200/10009 ( 62%)]  Loss:  6.890399 (6.9002)  Time: 0.673s,  190.11/s  (1.764s,   72.57/s)  LR: 1.000e-06  Data: 0.017 (1.101)
Train: 0 [6250/10009 ( 62%)]  Loss:  6.879455 (6.9000)  Time: 0.673s,  190.19/s  (1.762s,   72.64/s)  LR: 1.000e-06  Data: 0.017 (1.100)
Train: 0 [6300/10009 ( 63%)]  Loss:  6.885680 (6.8998)  Time: 0.676s,  189.40/s  (1.761s,   72.67/s)  LR: 1.000e-06  Data: 0.017 (1.099)
Train: 0 [6350/10009 ( 63%)]  Loss:  6.870193 (6.8995)  Time: 0.673s,  190.21/s  (1.762s,   72.65/s)  LR: 1.000e-06  Data: 0.016 (1.099)
Train: 0 [6400/10009 ( 64%)]  Loss:  6.886330 (6.8993)  Time: 0.649s,  197.19/s  (1.760s,   72.71/s)  LR: 1.000e-06  Data: 0.015 (1.098)
Train: 0 [6450/10009 ( 64%)]  Loss:  6.904300 (6.8991)  Time: 0.676s,  189.47/s  (1.759s,   72.75/s)  LR: 1.000e-06  Data: 0.017 (1.097)
Train: 0 [6500/10009 ( 65%)]  Loss:  6.850554 (6.8989)  Time: 0.649s,  197.20/s  (1.760s,   72.73/s)  LR: 1.000e-06  Data: 0.015 (1.098)
Train: 0 [6550/10009 ( 65%)]  Loss:  6.884481 (6.8988)  Time: 0.671s,  190.67/s  (1.761s,   72.69/s)  LR: 1.000e-06  Data: 0.017 (1.099)
Train: 0 [6600/10009 ( 66%)]  Loss:  6.832452 (6.8985)  Time: 0.672s,  190.57/s  (1.760s,   72.71/s)  LR: 1.000e-06  Data: 0.016 (1.098)
Train: 0 [6650/10009 ( 66%)]  Loss:  6.847581 (6.8983)  Time: 0.675s,  189.66/s  (1.760s,   72.72/s)  LR: 1.000e-06  Data: 0.018 (1.098)
Train: 0 [6700/10009 ( 67%)]  Loss:  6.804708 (6.8981)  Time: 0.677s,  188.96/s  (1.760s,   72.74/s)  LR: 1.000e-06  Data: 0.017 (1.098)
Train: 0 [6750/10009 ( 67%)]  Loss:  6.899829 (6.8979)  Time: 0.678s,  188.84/s  (1.759s,   72.76/s)  LR: 1.000e-06  Data: 0.018 (1.097)
Train: 0 [6800/10009 ( 68%)]  Loss:  6.904876 (6.8977)  Time: 0.674s,  189.77/s  (1.759s,   72.76/s)  LR: 1.000e-06  Data: 0.016 (1.097)
Train: 0 [6850/10009 ( 68%)]  Loss:  6.862344 (6.8975)  Time: 0.674s,  189.98/s  (1.759s,   72.76/s)  LR: 1.000e-06  Data: 0.016 (1.097)
Train: 0 [6900/10009 ( 69%)]  Loss:  6.853657 (6.8972)  Time: 0.675s,  189.60/s  (1.759s,   72.78/s)  LR: 1.000e-06  Data: 0.017 (1.097)
Train: 0 [6950/10009 ( 69%)]  Loss:  6.825555 (6.8970)  Time: 0.678s,  188.76/s  (1.758s,   72.82/s)  LR: 1.000e-06  Data: 0.018 (1.096)
Train: 0 [7000/10009 ( 70%)]  Loss:  6.884352 (6.8967)  Time: 0.673s,  190.21/s  (1.760s,   72.74/s)  LR: 1.000e-06  Data: 0.017 (1.098)
Train: 0 [7050/10009 ( 70%)]  Loss:  6.845490 (6.8965)  Time: 0.674s,  189.86/s  (1.759s,   72.77/s)  LR: 1.000e-06  Data: 0.018 (1.097)
Train: 0 [7100/10009 ( 71%)]  Loss:  6.871647 (6.8963)  Time: 1.547s,   82.75/s  (1.757s,   72.83/s)  LR: 1.000e-06  Data: 0.879 (1.095)
Train: 0 [7150/10009 ( 71%)]  Loss:  6.870188 (6.8961)  Time: 0.653s,  196.13/s  (1.756s,   72.89/s)  LR: 1.000e-06  Data: 0.015 (1.094)
Train: 0 [7200/10009 ( 72%)]  Loss:  6.830189 (6.8959)  Time: 0.678s,  188.75/s  (1.758s,   72.81/s)  LR: 1.000e-06  Data: 0.017 (1.096)
